,TITLE,TIME,CATEGORY,DESCRIPTION,CONTENT,KEYWORDS,FROM,LINK
0,《集中市場》航運遇巨浪、外資續賣超 回防萬七關,2021-06-07 15:24:44,財經,美股上周五收高，惟國內疫情續燒，甚至半導體產業也面臨群聚風暴，台股集中市場今日仍是持續震盪，盤中最高17189.23點、最低16775.85點，高低震盪達413點；盤面上，航海王翻船、鋼鐵人回落，只倚靠造紙、PCB、面板、,"美股上周五收高，惟國內疫情續燒，甚至半導體產業也面臨群聚風暴，台股集中市場今日仍是持續震盪，盤中最高17189.23點、最低16775.85點，高低震盪達413點；盤面上，航海王翻船、鋼鐵人回落，只倚靠造紙、PCB、面板、生醫族群力抗空頭，終場指數下跌63.5點，收17083.91點，守住萬七關，並拉出308點長下影線。

籌碼面，今日外資連續第二日賣超、但縮減至78.2169億元，投信買超18.5107億元，自營商賣超11.6384億元，三大法人賣超71.34億元。技術面，5日RSI為62.28，10日RSI為59.98；9日K值為84.37，9日D值為87.69；20日乖離率為-0.03。



分析師表示，台股今日守在萬七整數關卡之上，終場收長下影線，目前指數來到密集賣壓區，預期短線將會震盪加劇，不排除將有再次回測季線的可能，持股宜嚴控水位，待正式止程後再擇優進場布局。

盤面上，航海王遭空頭巨浪打翻，長榮(2603)、萬海(2615)、陽明(2609)盤中紛紛落水觸跌停，僅靠遠雄港(5607)、宅配通(2642)、榮運(2607)、中櫃(2613)等零星個股撐盤，終場類指大跌4.57%，成為今日重災區。高端疫苗(6547)今起10個營業日分盤交易均改為20分鐘撮合一次，股價苦吞第6根跌停，市值已蒸發近400億元。京元電子(2449)群聚效應擴大恐衝擊半導體產業，今日晶圓雙雄台積電(2330)、聯電(2303)盤中雙雙跌逾1%，京元電子、超豐(2441)、智邦(2345)等皆跌逾2%，惟中場過後低接買盤進駐，京元電子、超豐雙雙翻紅收高，晶圓雙雄跌幅也隨之縮減。

分析師指出，台灣疫情居高不下，多頭追價力道受限，高檔賣壓不輕。本周進入5月營收公布高峰期，科技廠群聚感染是否會擴大及電子股是否接棒將牽動台股後市。短線需觀察疫情發展，操作上買黑不買紅，漲多股勿追，不妨留意5月營收及前5月營收成長表現佳的族群。



",,中時新聞網,https://www.chinatimes.com/realtimenews/20210607003521-260410
1,台積電外資降評＋股東數跌破百萬人 股價大跌3％,2021-06-21 11:19:46,財經,台積電（2330）成也外資、敗也外資，昔日被外資捧上天，股價不斷升評，一度獲Aletheia資本高喊「千金」目標，如今大摩降目標價至580元，散戶紛紛退場，上周五股東數銳減至99.14萬多人，創下今年4月中以來最低股東數,"台積電（2330）成也外資、敗也外資，昔日被外資捧上天，股價不斷升評，一度獲Aletheia資本高喊「千金」目標，如今大摩降目標價至580元，散戶紛紛退場，上周五股東數銳減至99.14萬多人，創下今年4月中以來最低股東數，今（21）日盤中股價應聲重挫，最低價584元大跌3.15％。

今年初台積電紅透半邊天，於5月14日股東數最多一度達到近102.3萬人，人數破百萬人，也超越中鋼的股東數，多家外資紛紛調高台積電目標價，包括聯博投資喊上800元，以及多家內資投顧及外資證券商，都將台積電目標價調高至700～800元之間。

其中，備受爭議的Aletheia資本還一度在今年初，預測在強大的先進製程及各大客戶強力挹注下，台積電目標價喊到1000元，首家將台積電目標價晉升「千金股」。

但近來台積電在外資不再青睞下，散戶也紛紛出場，據統計，台積電上周五股東數降至991454人，跌破百萬股東數之列，更較5月14日的高峰1022969人，銳減31515人。

摩根士丹利上周五再開出降評第一槍，表示隨台積電製程延伸到5奈米之下，資本密集度大增，恐失去摩爾定律長期以來的成本優勢，衝擊毛利率低於50％成常態，因而下修台積電評級至中立，目標價也自655元大砍到580元。

台積電近今日股價最低來到584元，不但跌破600元整數關卡，也摜破5日線、10日線、月線、季線及半年線。目前年線位置在514元。",,中時新聞網,https://www.chinatimes.com/realtimenews/20210621001931-260410
2,那指連二日刷新高 台股早盤表現震盪,2021-06-24 09:21:43,財經,台股加權指數24日開在17358.57點，呈現小漲，權王台積電（2330）開在598元，上漲3元，但隨即被賣單壓低股價，面板股友達（2409）除息0.3元，開盤即完成填息，交投熱絡，航運股整體表現依然疲弱，台股早盤在平盤之上,"台股加權指數24日開在17358.57點，呈現小漲，權王台積電（2330）開在598元，上漲3元，但隨即被賣單壓低股價，面板股友達（2409）除息0.3元，開盤即完成填息，交投熱絡，航運股整體表現依然疲弱，台股早盤在平盤之上震盪。

特斯拉等電動車類股跳漲，再加上大型成長股反彈，激勵那斯達克指數連續第二個交易日刷新歷史收盤高，但聯準會許多官員最近紛紛發表評論、投資人需要時間消化，仍讓道瓊工業平均指數、標準普爾500指數終場小幅走跌。

道瓊工業平均指數6月23日終場下跌0.21％（71.34點）、收33874.24點。那斯達克指數上漲0.13％（18.46點）、收14271.73點，創歷史收盤新高。費城半導體指數上漲0.37％（11.79點）、收3197.22點。

台中銀證券指出，儘管在電子股染疫擔憂下，指數震盪回跌，而指數再回升至17300～17500前高之間開始震盪，利多因素包括國產疫苗、國際援助苗可望抵達，染疫人數下滑至200人以下有望解除三級警戒。

利空因素則有美股投資人藉明後年升息消息，獲利賣壓出籠，大陸官方打壓原物料價格。近期觀察量能退潮下趨向於震盪，但只要守穩月線17000，仍維持趨勢多頭不變。

在操作上，原物料傳產因大陸官方近期調控而下跌，短線宜避開。電子族群部分，法人圈傳出因中國大陸五一之後買氣不佳，手機、PC、NB下修潮興起，尤其是面板雜音多。

比較強勢的電子族群在PCB，尤其是ABF載板、CCL基板，如欣興、台光電、南電。基地台伺服器如緯穎。電動車族群如AES-KY、順德、同致。半導體如台積電、聯電、聯發科。",,中時新聞網,https://www.chinatimes.com/realtimenews/20210624001400-260410
3,《盤中解析》雙北停課多頭驚 生醫強撐場,2021-05-17 12:00:30,財經,疫情嚴峻，台股盤中重挫大跌逾500點失守半年線！儘管上周五台股擺脫本土新冠肺炎疫情衝擊跌深反彈，上周六及上周日本土確診病例頻創新高，雙北升至3級警戒，讓今天台股一開盤就跳空重挫，早盤一度大跌逾550點，下探1,"疫情嚴峻，台股盤中重挫大跌逾500點失守半年線！儘管上周五台股擺脫本土新冠肺炎疫情衝擊跌深反彈，上周六及上周日本土確診病例頻創新高，雙北升至3級警戒，讓今天台股一開盤就跳空重挫，早盤一度大跌逾550點，下探15250點，不過隨後跌深搶反彈的買盤進場，加上政府信心喊話，聯發科(2454)、大立光(3008)、台積電(2330)等電子權值股隱約見到政府護盤之手，聯發科及大立光股價一度翻紅，帶領指數止跌回穩攀升到15700點。



不過雙北市長在10點半宣布學校全面停課，再度引爆賣壓，台股指數急轉直下，之前獲市場追捧籌碼凌亂的航運、鋼鐵、電纜、原物料股都因短線急跌融資斷頭賣壓湧現跌勢難止，第一銅(2009)、官田鋼(2017)、晶豪科(3006)、中鴻(2014)等過過去的強勢股盤中均被打至跌停板，就連已連跌幾支跌停的長榮(2603)及陽明(2609)盤中股價跌幅都近8%，至今尚無止跌跡象，盤中以生技股表現較佳，國光生(4142)及台康生技(6589)盤中股價漲停，以及受惠於疫情的富邦媒(8454)及網家(8044)，在賣壓持續摜壓下，截至11點35分為止，加權股價指數約15394.33點，下跌432.76點，成交量約3254.83億元，OTC指數為181.87點，下跌5.18點，成交量約547.61億元。

今天盤中上市各類股以百貨類股表現最佳，上漲0.91%，其次是油電氣類股及生醫類股，分別下跌0.56%及0.6%，表現較差者為玻璃類股、鋼鐵類股及橡膠類股，其中玻璃類股下跌9.6%，鋼鐵類股下跌8.16%，橡膠類股下跌7.85%；上櫃部分，表現最佳為遊戲類股，上漲8.9%，表現最差為鋼鐵類股，下跌7.2%。

就技術面來看，上周台股在本土新冠肺炎疫情大爆發，確診案例激增影響，指數大幅拉回，終場加權股價指數以15827.09點作收，累計一周下跌1457.91點，跌幅約8.43%，周K連2黑，日均量為6127億元，櫃買指數也同步修正，OTC收盤指數為187.05點，累計一周下跌17.34點，跌幅約8.48%，周K亦是連二黑，日均量約830.43億元；今天台股在週六及週日確診病例激增影響，指數跳空開低，盤中一度大跌562.15點，失守15300點；雖然上周台股連續3日守住半年線，但今天指數再受疫情波及失守半年線，且上檔16000點附近賣壓相當沈重，雖然台股歷經上周單日一度重挫1418點已宣洩部分恐慌性賣壓，在疫情高峰何時出現仍是未定之數下，台股短線震盪難免，預估本週指數區間在15100點至16000點。

分析師表示，台灣疫情大爆發，造成指數連續重挫，上周台股加權指數合計下跌1457點，直接摜破萬六關卡，儘管5月11日到5月13日融資大減335.93億元，紊亂融資籌碼逐漸遭到清理，且觀察印度疫情嚴峻，波段高低點跌幅僅7.7%，而台股跌幅卻高達13.66%，或有對疫情反應過度，但下跌過程中連續爆量下殺，成交量沒有萎縮，尚未出現落底回穩的訊號。

由於目前台灣疫情擴散、雙北防疫升至三級警戒，打亂企業營運節奏。加上融資斷頭、違約交割事件頻傳，面臨諸多不確定因素襲擊，除非政府啟動國安基金護盤機制，否則短期台股將面臨劇烈調整，此時宜保持耐心，建議謹慎選股不摸底，保守操作，等待疫情高峰過去後再逢低佈局；長線而言，全球股市處於資金行情與景氣行情的交接期，展望樂觀。

在台股震盪難免下，長線投資人可佈局長期成長趨勢未變且股價已明顯修正的電子權值股，貨櫃及鋼鐵等因高檔套牢者眾，且籌碼混亂，短線不宜搶進，若手中有套牢者宜逢反彈減碼。

欣陸(3703)由大陸工程以換股方式成立並掛牌上市，旗下有三大事業體：大陸工程、大陸建設與欣達環工，三大事業體佔獲利比重分別為：19%、58%與23%；三大事業體營運動能強勁，未來三年EPS穩定，配息1.4元，現金殖利率5.67%；台積電(2330)2019年到2021年大舉擴增的產能將為2023年起的HPC趨勢備好柴火，看好3奈米將成為繼5/7奈米後另一長期且廣受客戶應用的先進製程，預估2022年營收1.84兆(年成長17.5%)，每股盈餘27.64元，均是可逢低佈局標的。



",,中時新聞網,https://www.chinatimes.com/realtimenews/20210517002347-260410
4,《集中市場》外資、航海王不退 戰新高僅差118點,2021-06-28 15:41:52,財經,美股上周五漲跌參半，亞股今日透涼意，台股集中市場在外資連續第四日買超，加上鋼鐵人升空、航海王破浪，輔以IC設計、PCB、DRAM相關等族群攜手向上，尾盤權王台積電(2330)、聯發科(2454)等電子權值強拉之下，終場續,"美股上周五漲跌參半，亞股今日透涼意，台股集中市場在外資連續第四日買超，加上鋼鐵人升空、航海王破浪，輔以IC設計、PCB、DRAM相關等族群攜手向上，尾盤權王台積電(2330)、聯發科(2454)等電子權值強拉之下，終場續漲87.98點、收17590.97點，日K連紅，離歷史新高僅118點，惟成交值減至4406.49億元。

籌碼面，今日外資買超52.493億元，投信賣超17.5275億元，自營商買超20.7414億元，三大法人買超55.70億元；本月以來，外資賣超約572.66億元，投信賣超約48.73億元，自營商買超約262.25億元，三大法人賣超約359.15億元。技術面，5日RSI為76.51、10日RSI為67.82，9日K值為84.45、9日D值為76.81，20日乖離率為2.08。



盤面上，貨櫃三雄今日受惠SCFI指數飆上3785.4點、續創新高激勵，再度吹起多頭號角，萬海(2615)率先漲停、榮登首家突破300元關卡的航運股，長榮(2603)、陽明(2609)也隨之亮燈收漲停，紛紛再創新高價。美基建政策達共識，中鋼(2002)看好美國基建計畫，可望帶動未來多年的穩健需求，今日市場資金重回鋼鐵股，燁輝(2023)、佳大(2033)、運錩(2069)、聚亨(2022)等紛紛強攻漲停。電子權值軍團在缺乏有力主帥領軍下，多空腳步凌亂，晶圓雙雄、股王股后、鴻海(2317)皆墨，DRAM雙雄、被動元件雙雄則偕聯發科(2454)、旺宏(2337)等堅守盤上，整體而言，零組件族群相對出色，半導體、其他電子族群則偏弱。

分析師指出，台股上周周K線拉出連六紅，本周進入6月最後一個交易周，6月30日當日收年、半年、季、月線，連同日線，有機會拚五線全紅，本周有望挑戰前高17709點。分析師表示，隨時序進入6至9月，是台股的除權息旺季，觀察今年以來除息的公司中，已完成填息的多為基本面佳且穩定配息的公司，可聚焦電動車、半導體、5G等具有長期爆發性成長的產業。



",,中時新聞網,https://www.chinatimes.com/realtimenews/20210628003508-260410
5,美股大反彈 台股早盤大漲近200點,2021-06-22 09:32:46,財經,美股大反彈，台股加權指數22日開在17162.71點，台積電（2330）開在585元，小漲2元，航運股依然是盤面上的吸睛族群，早盤漲幅逾5％及成交占比45％，皆居類股第一，帶動台股早盤大漲近200點。美國聯準會暗示升息時點可,"美股大反彈，台股加權指數22日開在17162.71點，台積電（2330）開在585元，小漲2元，航運股依然是盤面上的吸睛族群，早盤漲幅逾5％及成交占比45％，皆居類股第一，帶動台股早盤大漲近200點。

美國聯準會暗示升息時點可能提前、引發股市下殺後，美國四大指數6月22日強彈，投資人轉而聚焦日益強健的經濟表現，由能源、金融類股領軍反彈。

道瓊工業平均指數6月21日終場上漲1.76％（586.89點）、收33876.97點。

那斯達克指數上漲0.79％（111.1點）、收14141.48點。費城半導體指數上漲0.61％（19.17點）、收3171.99點。

群益投顧指出，21日大盤指數以中長黑K摜破短期（3日、12日與月）均線，初見技術面轉弱狀況，短線有再度回測季線壓力，惟月線仍呈走揚，挹注短線低檔支撐，季線附近防守力度，為短線強弱觀察重點。

熱錢持續支撐基本面營運狀況大好的貨櫃運輸股，部分基本面未明顯改善的原物料個股也飆漲，進而帶動整體（運輸為主的）原物料股、乃至個別基本面不佳的投機題材股強勢氛圍。

群益投顧指出，本已輪動加速的盤面結構，可能在運輸股持續強漲下，拉大輪動速度與股價波動範圍。階段應留意股價強彈、但獲利未明顯改善的評價偏高股，股價可能甩動加大的風險。

而短線操作積極者，建議針對（運輸為主的）二線強勢原物料股，酌量擇強（短線）操作，並應嚴守技術面（均線）應對。",,中時新聞網,https://www.chinatimes.com/realtimenews/20210622001330-260410
6,《半導體》停電事件 台積電、聯電部分廠區短暫壓降,2021-05-13 17:06:44,財經,高雄興達電廠因為電網事故造成部分機組停機，導致全台今(13)日下午3時傳出大規模停電事件，晶圓代工廠台積電(2330)與聯電(2303)部分廠區都產生短暫壓降現象，目前供電已正常。台積電表示，因興達電廠全廠停機，使部,"高雄興達電廠因為電網事故造成部分機組停機，導致全台今(13)日下午3時傳出大規模停電事件，晶圓代工廠台積電(2330)與聯電(2303)部分廠區都產生短暫壓降現象，目前供電已正常。

台積電表示，因興達電廠全廠停機，使部分廠區產生短暫壓降現象，目前供電正常，已採取緊急應變措施及發電機備援準備，將影響降到最低。後續分區供電細節尚待釐清。

聯電表示，南科廠有壓降情況，但不斷電系統隨即接上，生產營運不受影響。竹科廠生產營運一切正常，並無停電或壓降情況。



台電興達電廠因為事故全廠停機，下午3時開始緊急分區輪流停電，竹科、中科、南科部分園區有停電情形。



",,中時新聞網,https://www.chinatimes.com/realtimenews/20210513004790-260410
7,《半導體》台積「斷電」 暫貼息,2021-06-17 09:44:20,財經,台積電(2330)去年第4季現金股利今(17)日除息，每股配發新台幣2.5元現金。今日開盤參考價603元，台積電股價早盤開低2元為601元，最低598元，暫時呈現貼息的狀態。美國聯準會提高通膨預測，根據其利率預測，預計將提前,"台積電(2330)去年第4季現金股利今(17)日除息，每股配發新台幣2.5元現金。今日開盤參考價603元，台積電股價早盤開低2元為601元，最低598元，暫時呈現貼息的狀態。

美國聯準會提高通膨預測，根據其利率預測，預計將提前一年於2023年開始升息。美股周三收低，台積電ADR跌1.2%。台積電周三收低在605元，今早開低走低，早盤一度跌落600元關卡。外資周三小幅賣超199張，終止連3個交易日買超，投信也賣超144張，但自營商周三在台積電除息前夕買超3587張，卡位台積電除息行情。

台積電去年第4季現金股利於今日除息，每股配發新台幣2.5元現金，證交所估計將影響加權股價指數約21.33點。



台積電自2019年起改採每季配息，過去7次除息皆順利完成填息；其中，3度在除息當天快速填息，去年12月17日更是開盤即完成填息，填息時間最長為15個交易日，上次則是13個交易日填息。

台積電受美股下跌影響，股價開低，早盤失守600元關卡以及5日線支撐。



",,中時新聞網,https://www.chinatimes.com/realtimenews/20210617001542-260410
8,《半導體》台積電亞利桑那州廠動工 2024年量產,2021-06-02 10:19:04,財經,台積電(2330)總裁魏哲家表示，投資120億美元在美國亞利桑那州興建的晶圓代工廠已經動工。亞利桑那州的廠房將照原定計畫，於2024年開始量產採用5奈米製程技術的晶片。外電報導，台積公司總裁魏哲家魏哲家於週二(6月1,"台積電(2330)總裁魏哲家表示，投資120億美元在美國亞利桑那州興建的晶圓代工廠已經動工。亞利桑那州的廠房將照原定計畫，於2024年開始量產採用5奈米製程技術的晶片。

外電報導，台積公司總裁魏哲家魏哲家於週二(6月1日)台積公司舉辦2021年技術論壇時指出，台積電斥資120億美元在亞利桑那州建造12吋晶圓廠，現階段已經開工，工程正順利進行。魏哲家表示，規劃中的工廠有望自2024年開始量產5奈米製程晶片，月產能約2萬片。

此外，魏哲家指出，台積電3奈米製程有望在明年下半年開始量產，將於南科的Fab 18廠生產。台積電今年資本支出預估為300億美元，未來三年投資達1000億美元。



台積電於去年五月中即宣布，將到美國設廠，並落腳美國亞利桑那州；新建於美國亞利桑那州的新晶圓廠將以5奈米製程為主，月產能達20,000片，預計將直接提供1,600個工作機會，2021年動工，2024年正式量產。

台積公司目前在美國華盛頓州卡馬斯市設有一座晶圓廠，並在德州奧斯汀市、加州聖何西市皆設有設計中心。此座位於亞利桑那州的廠房將成為台積公司在美國的第二個生產基地。



",,中時新聞網,https://www.chinatimes.com/realtimenews/20210602001786-260410
9,《科技》SEMI：北美半導體設備出貨 連4月創新高,2021-05-25 10:35:14,財經,SEMI（國際半導體產業協會）今(25)日公布最新Billing Report（出貨報告），2021年4月北美半導體設備製造商出貨金額為34.1億美元，連續第4個月創新高，較2021年3月最終數據的32.7億美元相比提升4.1%，相較於2020年同,"SEMI（國際半導體產業協會）今(25)日公布最新Billing Report（出貨報告），2021年4月北美半導體設備製造商出貨金額為34.1億美元，連續第4個月創新高，較2021年3月最終數據的32.7億美元相比提升4.1%，相較於2020年同期22.8億美元則上升了49.5%。

SEMI全球行銷長暨台灣區總裁曹世綸表示：「4月北美半導體設備製造商出貨金額連續第5個月創下增長紀錄。隨著半導體行業努力回應各種終端應用市場不斷提升的需求，設備出貨量將繼續呈現穩定成長。」



今年隨著晶圓代工供不應求以及記憶體產業復甦，半導體大廠紛紛擴張資本支出，帶動北美半導體設備製造商出貨金額已連續4個月在30億美元之上，且連續4個月創新高。台積電(2330)已將今年資本支出調高至300億美元新高，成為帶動全球半導體設備市場今年再創新高的推手之一。

因應5G與高效能運算大趨勢，將驅動未來幾年對先進製程與特殊製程需求高成長，台積電將今年資本支出自原訂的250億至280億美元，調高至300億美元，也較去年大增約74%。

台積電並於先前法說會表示，台積電美元營收2020年至2025年的年複合成長率將達10%至15%，未來3年將投入1000億美元增加產能，以支持領先技術的製造和研發。



",,中時新聞網,https://www.chinatimes.com/realtimenews/20210525001805-260410
