news,漲,佳,好,穩,正,惠,效益,升,樂觀,增,跌,壓力,弱,不足,逆,降,挫,衝擊,悲,減
2014-05-13 90539.txt,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2014-05-13 90719.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-13 90720.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-13 90721.txt,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-13 90724.txt,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-13 90827.txt,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-13 90830.txt,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2014-05-14 90887.txt,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2014-05-14 90908.txt,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-14 90911.txt,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-14 90967.txt,1,1,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0
2014-05-14 91228.txt,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-14 91229.txt,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2014-05-14 91313.txt,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-14 91318.txt,0,1,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
2014-05-14 91441.txt,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-15 91505.txt,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-15 91522.txt,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2014-05-15 91592.txt,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2014-05-15 91643.txt,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
2014-05-15 91644.txt,1,1,0,1,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1
2014-05-15 91673.txt,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1
2014-05-15 91723.txt,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-15 91885.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-15 91978.txt,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-16 92029.txt,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2014-05-16 92212.txt,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-16 92213.txt,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2014-05-16 92250.txt,1,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2014-05-16 92262.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-16 92340.txt,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-17 92392.txt,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2014-05-19 92413.txt,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-19 92425.txt,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2014-05-19 92481.txt,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-19 92731.txt,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
2014-05-19 92771.txt,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2014-05-19 92799.txt,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
2014-05-19 92895.txt,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-19 92896.txt,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2014-05-19 92938.txt,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-19 92962.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-20 93024.txt,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2014-05-20 93051.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-20 93091.txt,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2014-05-20 93117.txt,1,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0
2014-05-20 93334.txt,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
2014-05-21 93395.txt,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2014-05-21 93412.txt,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2014-05-21 93413.txt,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2014-05-21 93590.txt,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-21 93591.txt,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2014-05-21 93720.txt,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-22 93751.txt,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-05-22 93757.txt,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2014-05-22 93820.txt,1,1,1,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1
2014-05-22 93832.txt,1,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0
2014-05-22 93886.txt,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0
2014-05-22 93929.txt,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2014-05-22 94005.txt,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
