,Date,Number of stocks traded,turnover,Opening price,Highest price,Lowest price,Closing price,Price difference,Number of transactions
0,107/07/02,"1,884,856","636,581,184",342.0,342.0,335.0,335.5,-5.5,"1,379"
1,107/07/03,"1,820,130","615,748,920",340.0,344.0,334.0,334.0,-1.5,"1,412"
2,107/07/04,"2,157,090","733,326,780",335.5,342.0,335.5,342.0,8.0,"1,497"
3,107/07/05,"3,201,324","1,099,993,984",345.0,347.5,340.5,342.0,0.0,"1,950"
4,107/07/06,"4,731,413","1,583,236,848",342.0,342.0,330.5,336.0,-6.0,"3,159"
5,107/07/09,"2,335,869","791,967,960",338.0,343.0,335.5,340.0,4.0,"1,826"
6,107/07/10,"2,177,618","742,536,328",342.5,343.5,338.5,343.0,3.0,"1,787"
7,107/07/11,"1,779,188","602,148,760",341.0,342.5,336.0,336.5,-6.5,"1,493"
8,107/07/12,"2,535,969","870,014,305",337.5,346.5,337.5,346.5,10.0,"1,907"
9,107/07/13,"5,926,206","2,094,571,130",350.5,358.0,343.5,358.0,11.5,"3,627"
10,107/07/16,"8,009,561","2,883,532,293",356.0,365.0,356.0,364.0,6.0,"4,529"
11,107/07/17,"5,036,827","1,829,043,893",361.0,369.5,356.0,360.0,-4.0,"3,470"
12,107/07/18,"4,559,558","1,671,645,885",362.0,369.0,361.0,366.5,6.5,"3,168"
13,107/07/19,"6,674,923","2,482,344,885",368.0,375.0,365.5,374.0,7.5,"4,131"
14,107/07/20,"5,728,361","2,110,943,577",372.0,374.5,364.0,366.5,-7.5,"3,854"
15,107/07/23,"3,880,281","1,412,036,065",361.5,367.0,357.5,366.0,-0.5,"2,485"
16,107/07/24,"5,403,346","2,016,059,412",367.0,378.0,365.0,378.0,12.0,"3,516"
17,107/07/25,"2,447,330","923,070,080",378.0,379.5,371.0,378.0,0.0,"1,777"
18,107/07/26,"2,879,008","1,074,151,976",376.0,378.5,369.5,372.5,-5.5,"2,147"
19,107/07/27,"1,989,094","742,642,046",367.0,376.5,367.0,376.5,4.0,"1,414"
20,107/07/30,"2,019,205","758,948,170",373.0,378.0,372.0,376.0,-0.5,"1,255"
21,107/07/31,"2,957,977","1,111,661,883",373.0,378.0,371.0,376.5,0.5,"1,845"
